scenario,workload,memused,cpuused
"1_m3_medium",10000000,0.3254557415970049,100.0
"1_m3_medium",10000000,0.3447832529490383,100.0
"1_m3_medium",10000000,0.3492576558777384,100.0
"1_m3_medium",10000000,0.16928019391846458,100.0
"1_m3_medium",10000000,0.4264151648223936,100.0
"1_m3_medium",10000000,0.5681111627636701,100.0
"1_m3_medium",10000000,0.5927691490333131,3.0
"1_m3_medium",10000000,0.488849273220823,100.0
"1_m3_medium",10000000,0.45766023592306354,100.0
"1_m3_medium",10000000,0.2541184845139171,100.0
"1_m3_medium",10000000,0.34826980068568775,100.0
"1_m3_medium",10000000,0.4523982467645667,100.0
"1_m3_medium",10000000,0.22584943094560156,100.0
"1_m3_medium",10000000,0.46121423175580883,100.0
"1_m3_medium",10000000,0.2499169869586512,100.0
"1_m3_medium",10000000,0.025981006616139394,100.0
"1_m3_medium",10000000,0.027381851688900328,100.0
"1_m3_medium",10000000,0.3350956310236338,100.0
"1_m3_medium",10000000,0.2941650133235931,100.0
"1_m3_medium",10000000,0.30555959091173224,100.0
"1_m3_medium",10000000,0.4431910628159684,100.0
"1_m3_medium",10000000,0.20690066659472203,100.0
"1_m3_medium",10000000,0.4561410972663805,100.0
"1_m3_medium",10000000,0.2628016486390012,100.0
"1_m3_medium",20000000,0.36691971808771157,17.254900000000006
"1_m3_medium",20000000,0.24784062326191444,100.0
"1_m3_medium",20000000,0.023756257107991667,100.0
"1_m3_medium",20000000,0.022833774686003172,100.0
"1_m3_medium",20000000,0.3388613101118186,100.0
"1_m3_medium",20000000,0.022074205357661688,100.0
"1_m3_medium",20000000,0.02487900849223413,100.0
"1_m3_medium",20000000,0.022159293725044205,100.0
"1_m3_medium",20000000,0.11599516033968936,100.0
"1_m3_medium",20000000,0.09653379045848103,100.0
"1_m3_medium",20000000,0.08790250948423997,100.0
"1_m3_medium",20000000,0.2187154977046894,100.0
"1_m3_medium",20000000,0.021193229456347593,100.0
"1_m3_medium",20000000,0.021291807442949288,100.0
